"item","label","class","summary","value"
"","","","Rows in dataset","53"
"","","","Columns in dataset","48"
"Start date","No label","character","unique responses","53"
"","","","missing","0"
"Finished","No label","character","unique responses","1"
"","","","missing","0"
"1","No label","character","unique responses","2"
"","","","missing","0"
"2.1","No label","character","unique responses","2"
"","","","missing","0"
"2.2","No label","character","unique responses","2"
"","","","missing","0"
"2.3","No label","character","unique responses","2"
"","","","missing","0"
"2.4","No label","character","unique responses","2"
"","","","missing","0"
"2.5","No label","character","unique responses","2"
"","","","missing","0"
"3","No label","character","unique responses","2"
"","","","missing","0"
"4","No label","character","unique responses","1"
"","","","missing","0"
"5","No label","character","unique responses","2"
"","","","missing","0"
"6.1","No label","character","unique responses","5"
"","","","missing","4"
"6.2","No label","character","unique responses","4"
"","","","missing","3"
"6.3","No label","character","unique responses","5"
"","","","missing","3"
"6.4","No label","character","unique responses","4"
"","","","missing","4"
"6.5","No label","character","unique responses","4"
"","","","missing","3"
"6.6","No label","character","unique responses","4"
"","","","missing","3"
"6.7","No label","character","unique responses","5"
"","","","missing","3"
"7.1","No label","character","unique responses","2"
"","","","missing","0"
"7.2","No label","character","unique responses","2"
"","","","missing","0"
"7.3","No label","character","unique responses","2"
"","","","missing","0"
"8.1","No label","character","unique responses","3"
"","","","missing","0"
"8.2","No label","character","unique responses","3"
"","","","missing","0"
"8.3","No label","character","unique responses","3"
"","","","missing","0"
"8.4","No label","character","unique responses","3"
"","","","missing","0"
"8.5","No label","character","unique responses","3"
"","","","missing","0"
"8.6","No label","character","unique responses","3"
"","","","missing","0"
"9.1","No label","character","unique responses","4"
"","","","missing","0"
"9.2","No label","character","unique responses","4"
"","","","missing","0"
"9.3","No label","character","unique responses","4"
"","","","missing","0"
"10.1","No label","character","unique responses","4"
"","","","missing","0"
"10.2","No label","character","unique responses","4"
"","","","missing","0"
"10.3","No label","character","unique responses","3"
"","","","missing","0"
"10.4","No label","character","unique responses","4"
"","","","missing","0"
"10.5","No label","character","unique responses","4"
"","","","missing","0"
"11.1","No label","character","unique responses","2"
"","","","missing","0"
"11.2","No label","character","unique responses","2"
"","","","missing","0"
"11.3","No label","character","unique responses","2"
"","","","missing","0"
"12.1","No label","character","unique responses","4"
"","","","missing","0"
"12.2","No label","character","unique responses","4"
"","","","missing","0"
"13.1","No label","character","unique responses","4"
"","","","missing","0"
"13.2","No label","character","unique responses","4"
"","","","missing","0"
"13.3","No label","character","unique responses","4"
"","","","missing","0"
"13.4","No label","character","unique responses","4"
"","","","missing","0"
"13.5","No label","character","unique responses","4"
"","","","missing","0"
"14","No label","character","unique responses","2"
"","","","missing","0"
"15","No label","character","unique responses","24"
"","","","missing","29"
"16","No label","character","unique responses","2"
"","","","missing","0"
